stockid,year,catch,BdivBmsy,FdivFmsy
ALBANPAC,1945,"18,534",NA,NA
ALBANPAC,1946,"11,151",NA,NA
ALBANPAC,1947,"12,271",NA,NA
ALBANPAC,1948,"23,486",NA,NA
ALBANPAC,1949,"25,946",NA,NA
ALBANPAC,1950,"33,734",NA,NA
ALBANPAC,1951,"15,739",NA,NA
ALBANPAC,1952,"94,253",NA,NA
ALBANPAC,1953,"76,895",NA,NA
ALBANPAC,1954,"61,500",NA,NA
ALBANPAC,1955,"54,535",NA,NA
ALBANPAC,1956,"76,640",NA,NA
ALBANPAC,1957,"92,353",NA,NA
ALBANPAC,1958,"55,704",NA,NA
ALBANPAC,1959,"51,172",NA,NA
ALBANPAC,1960,"63,359",NA,NA
ALBANPAC,1961,"52,968",NA,NA
ALBANPAC,1962,"47,424",NA,NA
ALBANPAC,1963,"68,940",NA,NA
ALBANPAC,1964,"62,441",NA,NA
ALBANPAC,1965,"73,093",NA,NA
ALBANPAC,1966,"66,172",NA,NA
ALBANPAC,1967,"83,182",NA,NA
ALBANPAC,1968,"68,837",NA,NA
ALBANPAC,1969,"74,242",NA,NA
ALBANPAC,1970,"68,719",NA,NA
ALBANPAC,1971,"90,911",NA,NA
ALBANPAC,1972,"103,185",NA,NA
ALBANPAC,1973,"107,186",NA,NA
ALBANPAC,1974,"117,794",NA,NA
ALBANPAC,1975,"95,572",NA,NA
ALBANPAC,1976,"127,227",NA,NA
ALBANPAC,1977,"62,568",NA,NA
ALBANPAC,1978,"99,518",NA,NA
ALBANPAC,1979,"70,277",NA,NA
ALBANPAC,1980,"74,947",NA,NA
ALBANPAC,1981,"70,901",NA,NA
ALBANPAC,1982,"72,443",NA,NA
ALBANPAC,1983,"54,149",NA,NA
ALBANPAC,1984,"71,586",NA,NA
ALBANPAC,1985,"58,917",NA,NA
ALBANPAC,1986,"47,916",NA,NA
ALBANPAC,1987,"49,186",NA,NA
ALBANPAC,1988,"44,302",NA,NA
ALBANPAC,1989,"43,460",NA,NA
ALBANPAC,1990,"52,613",NA,NA
ALBANPAC,1991,"26,047",NA,NA
ALBANPAC,1992,"54,470",NA,NA
ALBANPAC,1993,"53,945",NA,NA
ALBANPAC,1994,"72,988",NA,NA
ALBANPAC,1995,"67,853",NA,NA
ALBANPAC,1996,"84,016",NA,NA
ALBANPAC,1997,"103,606",NA,NA
ALBANPAC,1998,"92,029",NA,NA
ALBANPAC,1999,"119,066",NA,NA
ALBANPAC,2000,"81,033",NA,NA
ALBANPAC,2001,"88,522",NA,NA
ALBANPAC,2002,"104,070",NA,NA
ALBANPAC,2003,"90,090",NA,NA
ALBANPAC,2004,"86,252",NA,NA
ALBANPAC,2005,"59,008",NA,NA
ALBANPAC,2006,"61,403",NA,NA
ALBANPAC,2007,"88,579",NA,NA
ALBANPAC,2008,"62,698",NA,NA
ALBANPAC,2009,"77,683",NA,NA
ALBANPAC,2010,"64,258",NA,NA
ALBANPAC,2011,"67,988",NA,NA
ALBANPAC,2012,"83,150",NA,NA
ALBANPAC,2013,"79,166",NA,NA
ALBANPAC,2014,"74,060",NA,NA
ALBANPAC,2015,"64,216",NA,NA
ALBANPAC,2016,"52,998",NA,NA
ALBANPAC,2017,"54,082",NA,NA
ALBANPAC,2018,"49,850",NA,NA
ALBANPAC,2019,"39,618",NA,NA
ALBANPAC,2020,"36,226",NA,NA
ALBASPAC,1952,154,NA,NA
ALBASPAC,1953,803,NA,NA
ALBASPAC,1954,9578,NA,NA
ALBASPAC,1955,8625,NA,NA
ALBASPAC,1956,7281,NA,NA
ALBASPAC,1957,8757,NA,NA
ALBASPAC,1958,18636,NA,NA
ALBASPAC,1959,17841,NA,NA
ALBASPAC,1960,22293,6.41,0.05
ALBASPAC,1961,23742,6.46,0.06
ALBASPAC,1962,35219,6.58,0.07
ALBASPAC,1963,31111,6.55,0.05
ALBASPAC,1964,22824,6.07,0.05
ALBASPAC,1965,25455,6.34,0.065
