stockid,year,catch,BdivBmsy,FdivFmsy
BMARLINIO,1953,1270,2,0.0634
BMARLINIO,1954,3010,1.98,0.152
BMARLINIO,1955,3510,1.96,0.181
BMARLINIO,1956,4940,1.93,0.259
BMARLINIO,1957,3780,1.89,0.202
BMARLINIO,1958,4170,1.87,0.226
BMARLINIO,1959,4490,1.85,0.248
BMARLINIO,1960,3880,1.83,0.215
BMARLINIO,1961,3430,1.82,0.191
BMARLINIO,1962,3290,1.82,0.184
BMARLINIO,1963,2180,1.82,0.124
BMARLINIO,1964,3400,1.83,0.193
BMARLINIO,1965,3630,1.82,0.207
BMARLINIO,1966,3510,1.81,0.198
BMARLINIO,1967,4060,1.81,0.23
BMARLINIO,1968,3540,1.8,0.214
BMARLINIO,1969,3240,1.8,0.196
BMARLINIO,1970,3640,1.8,0.249
BMARLINIO,1971,2930,1.79,0.205
BMARLINIO,1972,2890,1.79,0.215
BMARLINIO,1973,1870,1.79,0.152
BMARLINIO,1974,2210,1.8,0.21
BMARLINIO,1975,2710,1.79,0.209
BMARLINIO,1976,1780,1.79,0.15
BMARLINIO,1977,1960,1.8,0.149
BMARLINIO,1978,2880,1.81,0.221
BMARLINIO,1979,4050,1.8,0.271
BMARLINIO,1980,3650,1.79,0.245
BMARLINIO,1981,2830,1.78,0.203
BMARLINIO,1982,3330,1.78,0.241
BMARLINIO,1983,4130,1.78,0.284
BMARLINIO,1984,4250,1.76,0.292
BMARLINIO,1985,5280,1.73,0.365
BMARLINIO,1986,5650,1.64,0.417
BMARLINIO,1987,6910,1.54,0.497
BMARLINIO,1988,5090,1.38,0.392
BMARLINIO,1989,6000,1.22,0.494
BMARLINIO,1990,5140,1.15,0.398
BMARLINIO,1991,5440,1.16,0.414
BMARLINIO,1992,7800,1.3,0.573
BMARLINIO,1993,8660,1.35,0.655
BMARLINIO,1994,8600,1.39,0.626
BMARLINIO,1995,8370,1.4,0.608
BMARLINIO,1996,9910,1.4,0.716
BMARLINIO,1997,11400,1.46,0.888
BMARLINIO,1998,11900,1.41,0.961
BMARLINIO,1999,10700,1.31,0.933
BMARLINIO,2000,9510,1.21,0.919
BMARLINIO,2001,7250,1.14,0.78
BMARLINIO,2002,8530,1.08,0.88
BMARLINIO,2003,9990,1.02,1.08
BMARLINIO,2004,10100,0.96,1.25
BMARLINIO,2005,8920,0.89,1.43
BMARLINIO,2006,9090,0.82,1.34
BMARLINIO,2007,7700,0.77,1.22
BMARLINIO,2008,7670,0.78,1.15
BMARLINIO,2009,8200,0.83,1.09
BMARLINIO,2010,8290,0.9,1.03
BMARLINIO,2011,9020,0.94,1.22
BMARLINIO,2012,11200,0.97,1.53
BMARLINIO,2013,8560,0.9,1.38
BMARLINIO,2014,6950,0.88,1.19
BMARLINIO,2015,8500,0.89,1.28
BMARLINIO,2016,9680,0.89,1.42
BMARLINIO,2017,9870,0.82,1.47
BMARLINIO,2018,8550,NA,NA
BMARLINIO,2019,"8,420",NA,NA
BMARLINIO,2020,"6,958",NA,NA
BMARLINPAC,1971,9301.7,NA,NA
BMARLINPAC,1972,10974.8,3.62,0.35
BMARLINPAC,1973,12475.2,3.43,0.39
BMARLINPAC,1974,11733.2,3.3,0.38
BMARLINPAC,1975,10881.92,3.16,0.38
BMARLINPAC,1976,11798.7,2.94,0.45
BMARLINPAC,1977,12488.9,2.66,0.48
BMARLINPAC,1978,14507.2,2.41,0.55
BMARLINPAC,1979,15324.5,2.28,0.56
BMARLINPAC,1980,15883.8,2.22,0.58
BMARLINPAC,1981,16576.1,2.19,0.62
BMARLINPAC,1982,17591.3,2.14,0.64
BMARLINPAC,1983,16974.1,2.11,0.56
BMARLINPAC,1984,19697.1,2.16,0.7
BMARLINPAC,1985,15714.7,2.18,0.58
BMARLINPAC,1986,18122.2,2.17,0.71
BMARLINPAC,1987,24954.8,2.02,0.91
BMARLINPAC,1988,21309.3,1.85,0.76
BMARLINPAC,1989,18264.6,1.83,0.67
BMARLINPAC,1990,16462.6,1.86,0.57
BMARLINPAC,1991,18598.9,1.94,0.66
BMARLINPAC,1992,21076,1.92,0.71
BMARLINPAC,1993,22563,1.9,0.81
BMARLINPAC,1994,23294.2,1.77,0.76
BMARLINPAC,1995,24518.8,1.65,0.93
BMARLINPAC,1996,16756.7,1.52,0.56
BMARLINPAC,1997,18726.6,1.5,0.68
BMARLINPAC,1998,19589.6,1.49,0.67
BMARLINPAC,1999,18291.4,1.49,0.7
BMARLINPAC,2000,20836.5,1.41,0.77
BMARLINPAC,2001,23763.9,1.29,0.92
BMARLINPAC,2002,23434.3,1.17,0.99
BMARLINPAC,2003,26136.8,1.06,1.09
BMARLINPAC,2004,22939.3,0.97,1.04
BMARLINPAC,2005,24965.5,0.91,1.1
BMARLINPAC,2006,22414.8,0.88,1.05
BMARLINPAC,2007,19262,0.9,0.79
BMARLINPAC,2008,18464.6,1.01,0.76
BMARLINPAC,2009,18557.7,1.12,0.78
BMARLINPAC,2010,20562.8,1.15,0.76
BMARLINPAC,2011,18880.5,1.23,0.66
BMARLINPAC,2012,20615.5,1.34,0.74
BMARLINPAC,2013,22164.7,1.38,0.81
BMARLINPAC,2014,23742.6,1.33,0.84
BMARLINPAC,2015,23103.4,1.27,0.83
BMARLINPAC,2016,23681.2,1.2,0.95
BMARLINPAC,2017,19208.5,1.15,0.59
BMARLINPAC,2018,18587.6,1.18,0.7
BMARLINPAC,2019,16503.9,1.22,0.5
BMARLINPAC,2020,NA,NA,NA
OWTSHARCWPAC,1971,NA,NA,NA
OWTSHARCWPAC,1972,NA,0.563,1.57
OWTSHARCWPAC,1973,NA,0.62,1.55
OWTSHARCWPAC,1974,NA,0.64,1.55
OWTSHARCWPAC,1975,NA,0.676,1.55
OWTSHARCWPAC,1976,NA,0.851,1.56
OWTSHARCWPAC,1977,NA,0.964,1.56
OWTSHARCWPAC,1978,NA,1.07,1.57
OWTSHARCWPAC,1979,NA,1.1,1.55
OWTSHARCWPAC,1980,NA,1.15,1.54
OWTSHARCWPAC,1981,NA,2.19,1.52
OWTSHARCWPAC,1982,NA,2.04,1.49
OWTSHARCWPAC,1983,NA,2.09,1.48
OWTSHARCWPAC,1984,NA,2.07,1.46
OWTSHARCWPAC,1985,NA,2.11,1.43
OWTSHARCWPAC,1986,NA,2.21,1.39
OWTSHARCWPAC,1987,NA,2.14,1.36
OWTSHARCWPAC,1988,NA,2.21,1.31
OWTSHARCWPAC,1989,NA,2.93,1.27
OWTSHARCWPAC,1990,NA,1.69,1.22
OWTSHARCWPAC,1991,NA,1.66,1.18
OWTSHARCWPAC,1992,NA,1.16,1.13
OWTSHARCWPAC,1993,NA,0.807,1.1
OWTSHARCWPAC,1994,NA,0.653,1.09
OWTSHARCWPAC,1995,6160,0.612,1.08
OWTSHARCWPAC,1996,5640,0.53,1.12
OWTSHARCWPAC,1997,5750,0.566,1.16
OWTSHARCWPAC,1998,7560,0.546,1.21
OWTSHARCWPAC,1999,6740,0.49,1.27
OWTSHARCWPAC,2000,5790,0.588,1.32
OWTSHARCWPAC,2001,3930,0.526,1.37
OWTSHARCWPAC,2002,3710,0.485,1.42
OWTSHARCWPAC,2003,2930,0.486,1.46
OWTSHARCWPAC,2004,3300,0.542,1.5
OWTSHARCWPAC,2005,2480,0.599,1.53
OWTSHARCWPAC,2006,1550,0.537,1.55
OWTSHARCWPAC,2007,1660,0.532,1.56
OWTSHARCWPAC,2008,1730,0.471,1.56
OWTSHARCWPAC,2009,1660,0.502,1.58
OWTSHARCWPAC,2010,"1,660",0.481,1.6
OWTSHARCWPAC,2011,NA,0.358,1.62
OWTSHARCWPAC,2012,NA,0.36,1.63
OWTSHARCWPAC,2013,NA,0.36,1.65
OWTSHARCWPAC,2014,NA,0.38,1.68
OWTSHARCWPAC,2015,"3,007",0.28,1.69
OWTSHARCWPAC,2016,"2,464",NA,NA
PACBTUNA,1952,"19,162",NA,NA
PACBTUNA,1953,"20,110",NA,NA
PACBTUNA,1954,"28,547",NA,NA
PACBTUNA,1955,"31,988",NA,NA
PACBTUNA,1956,"40,144",NA,NA
PACBTUNA,1957,"36,543",NA,NA
PACBTUNA,1958,"28,584",NA,NA
PACBTUNA,1959,"19,974",NA,NA
PACBTUNA,1960,"25,885",NA,NA
PACBTUNA,1961,"30,810",NA,NA
PACBTUNA,1962,"32,782",NA,NA
PACBTUNA,1963,"35,031",NA,NA
PACBTUNA,1964,"28,517",NA,NA
PACBTUNA,1965,"27,030",NA,NA
PACBTUNA,1966,"30,986",NA,NA
PACBTUNA,1967,"20,701",NA,NA
PACBTUNA,1968,"21,615",NA,NA
PACBTUNA,1969,"16,400",NA,NA
PACBTUNA,1970,"11,422",NA,NA
PACBTUNA,1971,"17,088",NA,NA
PACBTUNA,1972,"21,190",NA,NA
PACBTUNA,1973,"19,560",NA,NA
PACBTUNA,1974,"20,641",NA,NA
PACBTUNA,1975,"20,910",NA,NA
PACBTUNA,1976,"19,303",NA,NA
PACBTUNA,1977,"18,789",NA,NA
PACBTUNA,1978,"26,858",NA,NA
PACBTUNA,1979,"31,679",NA,NA
PACBTUNA,1980,"22,594",NA,NA
PACBTUNA,1981,"34,612",NA,NA
PACBTUNA,1982,"29,375",NA,NA
PACBTUNA,1983,"20,631",NA,NA
PACBTUNA,1984,"11,551",NA,NA
PACBTUNA,1985,"16,078",NA,NA
PACBTUNA,1986,"19,252",NA,NA
PACBTUNA,1987,"15,488",NA,NA
PACBTUNA,1988,"8,960",NA,NA
PACBTUNA,1989,"10,912",NA,NA
PACBTUNA,1990,"8,585",NA,NA
PACBTUNA,1991,"15,759",NA,NA
PACBTUNA,1992,"13,977",NA,NA
PACBTUNA,1993,"10,781",NA,NA
PACBTUNA,1994,"16,891",NA,NA
PACBTUNA,1995,"29,200",NA,NA
PACBTUNA,1996,"23,505",NA,NA
PACBTUNA,1997,"24,579",NA,NA
PACBTUNA,1998,"15,754",NA,NA
PACBTUNA,1999,"29,136",NA,NA
PACBTUNA,2000,"33,946",NA,NA
PACBTUNA,2001,"18,781",NA,NA
PACBTUNA,2002,"19,026",NA,NA
PACBTUNA,2003,"18,528",NA,NA
PACBTUNA,2004,"25,536",NA,NA
PACBTUNA,2005,"29,174",NA,NA
PACBTUNA,2006,"26,234",NA,NA
PACBTUNA,2007,"20,720",NA,NA
PACBTUNA,2008,"24,523",NA,NA
PACBTUNA,2009,"19,440",NA,NA
PACBTUNA,2010,"17,852",NA,NA
PACBTUNA,2011,"17,068",NA,NA
PACBTUNA,2012,"14,841",NA,NA
PACBTUNA,2013,"11,324",NA,NA
PACBTUNA,2014,"17,099",NA,NA
PACBTUNA,2015,"11,221",NA,NA
PACBTUNA,2016,"13,275",NA,NA
PACBTUNA,2017,"14,732",NA,NA
PACBTUNA,2018,"10,186",NA,NA
PACBTUNA,2019,"11,557",NA,NA
PACBTUNA,2020,"13,779",NA,NA
SBT,1952,829,NA,NA
SBT,1953,4400,3.36,0.0761
SBT,1954,2870,3.31,0.109
SBT,1955,2290,3.26,0.0598
SBT,1956,10600,3.16,0.116
SBT,1957,24200,3.03,0.447
SBT,1958,14800,2.86,0.447
SBT,1959,64400,2.71,0.953
SBT,1960,79400,2.52,2.53
SBT,1961,81800,2.38,3.23
SBT,1962,45800,2.27,1.95
SBT,1963,66300,2.17,1.64
SBT,1964,49900,2.05,1.72
SBT,1965,47600,1.94,1.42
SBT,1966,47700,1.89,0.871
SBT,1967,65600,1.9,0.574
SBT,1968,58400,1.9,0.706
SBT,1969,58500,1.84,0.399
SBT,1970,48200,1.86,0.359
SBT,1971,45100,1.8,0.333
SBT,1972,51900,1.7,0.548
SBT,1973,41200,1.63,0.723
SBT,1974,46800,1.58,0.564
SBT,1975,33000,1.48,0.581
SBT,1976,42500,1.48,0.631
SBT,1977,42200,1.47,0.806
SBT,1978,35900,1.47,1.04
SBT,1979,38700,1.48,0.79
SBT,1980,45100,1.47,0.78
SBT,1981,45100,1.39,1.42
SBT,1982,42800,1.32,2.1
SBT,1983,42900,1.27,2.98
SBT,1984,37100,1.22,1.93
SBT,1985,33300,1.16,1.68
SBT,1986,28300,1.08,2.31
SBT,1987,25600,1.02,1.83
SBT,1988,23100,0.947,2
SBT,1989,17800,0.882,0.989
SBT,1990,13900,0.798,0.791
SBT,1991,13700,0.723,0.477
SBT,1992,14200,0.659,0.328
SBT,1993,14300,0.585,0.266
SBT,1994,13200,0.535,0.315
SBT,1995,13900,0.476,0.391
SBT,1996,16600,0.436,0.689
SBT,1997,16100,0.401,0.821
SBT,1998,17800,0.377,0.762
SBT,1999,19500,0.362,0.878
SBT,2000,15500,0.362,0.894
SBT,2001,16000,0.377,0.894
SBT,2002,15300,0.353,1.12
SBT,2003,14100,0.328,1.16
SBT,2004,13500,0.313,1.18
SBT,2005,16200,0.313,1.57
SBT,2006,11700,0.304,1.63
SBT,2007,10600,0.289,1.49
SBT,2008,11400,0.304,1.21
SBT,2009,10900,0.289,1.15
SBT,2010,9720,0.289,0.78
SBT,2011,9440,0.29,0.724
SBT,2012,10300,0.29,0.81
SBT,2013,11700,0.265,0.684
SBT,2014,11900,0.28,0.701
SBT,2015,14400,0.33,0.562
SBT,2016,14400,0.38,0.496
SBT,2017,13700,0.55,0.48
SBT,2018,17100,0.6,0.54
SBT,2019,16900,0.64,0.52
SBT,2020,"16,441",0.69,NA
SFMAKONPAC,1975,2774.7,1.627426,0.538462
SFMAKONPAC,1976,3407.5,1.627584,0.653846
SFMAKONPAC,1977,3892.4,1.627426,0.730769
SFMAKONPAC,1978,3685.5,1.626637,0.692308
SFMAKONPAC,1979,4046.8,1.62569,0.730769
SFMAKONPAC,1980,4289.3,1.623481,0.807692
SFMAKONPAC,1981,7384.5,1.619536,1.346154
SFMAKONPAC,1982,6629.6,1.613066,1.346154
SFMAKONPAC,1983,6243.3,1.605492,1.307692
SFMAKONPAC,1984,5842,1.595392,1.230769
SFMAKONPAC,1985,5734.4,1.582452,1.230769
SFMAKONPAC,1986,5675.3,1.565252,1.269231
SFMAKONPAC,1987,6015.4,1.544737,1.346154
SFMAKONPAC,1988,5863.2,1.519804,1.307692
SFMAKONPAC,1989,6990.9,1.492189,1.538462
SFMAKONPAC,1990,4689.3,1.463942,1.115385
SFMAKONPAC,1991,4584.2,1.436169,1.076923
SFMAKONPAC,1992,3731.7,1.409184,0.884615
SFMAKONPAC,1993,2436.6,1.383462,0.576923
SFMAKONPAC,1994,2266.6,1.359476,0.461538
SFMAKONPAC,1995,2290.6,1.338488,0.461538
SFMAKONPAC,1996,2633.6,1.321919,0.576923
SFMAKONPAC,1997,2212.5,1.310715,0.5
SFMAKONPAC,1998,2238.7,1.305192,0.423077
SFMAKONPAC,1999,2507.5,1.304561,0.576923
SFMAKONPAC,2000,2488.9,1.307085,0.576923
SFMAKONPAC,2001,2662.8,1.311346,0.576923
SFMAKONPAC,2002,2454.9,1.315922,0.538462
SFMAKONPAC,2003,2685.6,1.320972,0.576923
SFMAKONPAC,2004,2911.2,1.325548,0.730769
SFMAKONPAC,2005,2480.1,1.329493,0.576923
SFMAKONPAC,2006,2762.2,1.333123,0.615385
SFMAKONPAC,2007,2882.4,1.337068,0.615385
SFMAKONPAC,2008,2510,1.333,0.587
SFMAKONPAC,2009,2710,1.347,0.623
SFMAKONPAC,2010,"2,830",1.37,0.655
SFMAKONPAC,2011,"2,650",1.345,0.651
SFMAKONPAC,2012,"2,550",1.378,0.567
SFMAKONPAC,2013,"2,470",1.351,0.462
SFMAKONPAC,2014,"3,240",1.35,0.559
SFMAKONPAC,2015,"3,430",1.38,0.62
SFMAKONPAC,2016,"2,360",1.36,0.603
SILSHARCWPAC,1995,NA,1.81,0.44
SILSHARCWPAC,1996,NA,1.83,0.49
SILSHARCWPAC,1997,NA,1.85,0.54
SILSHARCWPAC,1998,NA,1.86,0.64
SILSHARCWPAC,1999,NA,1.87,0.69
SILSHARCWPAC,2000,NA,1.87,0.83
SILSHARCWPAC,2001,NA,1.86,0.99
SILSHARCWPAC,2002,NA,1.83,1.08
SILSHARCWPAC,2003,NA,1.8,1.1
SILSHARCWPAC,2004,NA,1.75,1.02
SILSHARCWPAC,2005,NA,1.66,0.93
SILSHARCWPAC,2006,NA,1.63,1.37
SILSHARCWPAC,2007,NA,1.57,1.31
SILSHARCWPAC,2008,NA,1.53,1.3
SILSHARCWPAC,2009,NA,1.5,1.32
SILSHARCWPAC,2010,NA,1.45,1.4
SILSHARCWPAC,2011,NA,1.4,1.47
SILSHARCWPAC,2012,NA,1.35,1.54
SILSHARCWPAC,2013,NA,1.29,1.57
SILSHARCWPAC,2014,NA,1.25,1.6
SILSHARCWPAC,2015,NA,1.21,1.55
SILSHARCWPAC,2016,"22,503",1.178,1.607
SKJCIO,1950,10800,2.49,1.31E-02
SKJCIO,1951,13700,2.48,1.31E-02
SKJCIO,1952,13500,2.48,0.0131
SKJCIO,1953,14300,2.48,0.0131
SKJCIO,1954,15100,2.48,0.0131
SKJCIO,1955,15300,2.48,0.0131
SKJCIO,1956,16000,2.48,0.0131
SKJCIO,1957,17700,2.48,0.0175
SKJCIO,1958,16800,2.48,0.0175
SKJCIO,1959,16900,2.48,0.0175
SKJCIO,1960,16700,2.47,0.0175
SKJCIO,1961,16600,2.47,0.0204
SKJCIO,1962,18900,2.47,0.0175
SKJCIO,1963,21300,2.46,0.0204
SKJCIO,1964,22300,2.46,0.0204
SKJCIO,1965,28500,2.46,0.0321
SKJCIO,1966,33700,2.44,0.035
SKJCIO,1967,36200,2.44,0.0394
SKJCIO,1968,35900,2.43,0.035
SKJCIO,1969,38500,2.43,0.0394
SKJCIO,1970,44300,2.43,0.0423
SKJCIO,1971,42600,2.42,0.0423
SKJCIO,1972,36400,2.42,0.035
SKJCIO,1973,46500,2.42,0.0423
SKJCIO,1974,56800,2.41,0.0539
SKJCIO,1975,44600,2.4,0.0423
SKJCIO,1976,52300,2.4,0.0496
SKJCIO,1977,49700,2.4,0.0423
SKJCIO,1978,45300,2.4,0.0394
SKJCIO,1979,49500,2.4,0.0423
SKJCIO,1980,55500,2.4,0.0466
SKJCIO,1981,58800,2.4,0.0539
SKJCIO,1982,62300,2.4,0.0569
SKJCIO,1983,69900,2.4,0.0612
SKJCIO,1984,112000,2.56,0.105
SKJCIO,1985,144000,2.5,0.12
SKJCIO,1986,158000,2.17,0.137
SKJCIO,1987,176000,2.23,0.178
SKJCIO,1988,209000,2.21,0.192
SKJCIO,1989,251000,2.05,0.246
SKJCIO,1990,228000,2.1,0.236
SKJCIO,1991,248000,2.18,0.246
SKJCIO,1992,286000,2.07,0.29
SKJCIO,1993,314000,1.99,0.327
SKJCIO,1994,351000,1.91,0.37
SKJCIO,1995,345000,1.69,0.385
SKJCIO,1996,321000,1.55,0.397
SKJCIO,1997,332000,1.37,0.458
SKJCIO,1998,340000,1.64,0.523
SKJCIO,1999,424000,1.81,0.513
SKJCIO,2000,419000,1.71,0.487
SKJCIO,2001,409000,1.8,0.509
SKJCIO,2002,482000,1.75,0.538
SKJCIO,2003,481000,1.61,0.586
SKJCIO,2004,455000,1.75,0.589
SKJCIO,2005,555000,1.74,0.622
SKJCIO,2006,616000,1.24,0.723
SKJCIO,2007,466000,1.03,0.824
SKJCIO,2008,438000,1.1,0.863
SKJCIO,2009,438000,1.17,0.787
SKJCIO,2010,424000,1.08,0.762
SKJCIO,2011,383000,0.909,0.736
SKJCIO,2012,339000,0.901,0.776
SKJCIO,2013,434000,0.944,0.95
SKJCIO,2014,422000,0.909,0.97
SKJCIO,2015,397000,0.929,0.99
SKJCIO,2016,471000,1,1.13
SKJCIO,2017,470000,0.89,1.09
SKJCIO,2018,610000,1.14,1.04
SKJCIO,2019,"547,248",1.13,0.98
SKJCIO,2020,NA,NA,NA
SWORDIO,1950,43.4,4.38,1.03E-03
SWORDIO,1951,40.8,4.38,1.38E-03
SWORDIO,1952,43.7,4.38,0.00409
SWORDIO,1953,65,4.37,0.00323
SWORDIO,1954,211,4.37,0.00662
SWORDIO,1955,269,4.37,0.00815
SWORDIO,1956,592,4.36,0.0151
SWORDIO,1957,412,4.35,0.012
SWORDIO,1958,615,4.34,0.0132
SWORDIO,1959,617,4.33,0.0172
SWORDIO,1960,711,4.31,0.0167
SWORDIO,1961,918,4.3,0.0202
SWORDIO,1962,1080,4.28,0.0247
SWORDIO,1963,974,4.27,0.0276
SWORDIO,1964,1180,4.25,0.0276
SWORDIO,1965,1280,4.23,0.0318
SWORDIO,1966,1360,4.21,0.0346
SWORDIO,1967,1810,4.19,0.0358
SWORDIO,1968,1720,4.17,0.0538
SWORDIO,1969,1990,4.14,0.0511
SWORDIO,1970,2470,4.12,0.0417
SWORDIO,1971,2060,4.11,0.0351
SWORDIO,1972,1970,4.09,0.0499
SWORDIO,1973,1600,4.07,0.0556
SWORDIO,1974,1920,4.04,0.0477
SWORDIO,1975,2190,4.01,0.0454
SWORDIO,1976,1950,3.97,0.0498
SWORDIO,1977,1880,3.91,0.0577
SWORDIO,1978,2390,3.84,0.0751
SWORDIO,1979,2580,3.75,0.066
SWORDIO,1980,2640,3.65,0.0602
SWORDIO,1981,2660,3.55,0.0894
SWORDIO,1982,3510,3.43,0.11
SWORDIO,1983,4000,3.3,0.114
SWORDIO,1984,3890,3.19,0.108
SWORDIO,1985,4980,3.1,0.126
SWORDIO,1986,5730,3.02,0.144
SWORDIO,1987,6550,2.97,0.162
SWORDIO,1988,9160,2.96,0.192
SWORDIO,1989,8090,2.97,0.131
SWORDIO,1990,8520,3.03,0.173
SWORDIO,1991,9350,3.1,0.235
SWORDIO,1992,15700,3.13,0.434
SWORDIO,1993,25900,3.07,0.655
SWORDIO,1994,27400,2.9,0.728
SWORDIO,1995,32000,2.7,0.949
SWORDIO,1996,36200,2.43,0.992
SWORDIO,1997,35800,2.19,1.03
SWORDIO,1998,38100,1.99,1.02
SWORDIO,1999,36000,1.82,0.93
SWORDIO,2000,35400,1.71,0.982
SWORDIO,2001,32400,1.62,1.01
SWORDIO,2002,33400,1.56,1.09
SWORDIO,2003,38000,1.5,0.943
SWORDIO,2004,40200,1.48,0.915
SWORDIO,2005,35700,1.47,1.04
SWORDIO,2006,32900,1.45,0.899
SWORDIO,2007,30200,1.45,0.803
SWORDIO,2008,24600,1.48,0.665
SWORDIO,2009,24700,1.54,0.528
SWORDIO,2010,24900,1.62,0.53
SWORDIO,2011,21400,1.63,0.49
SWORDIO,2012,26800,1.68,0.58
SWORDIO,2013,30100,1.71,0.63
SWORDIO,2014,27300,1.73,0.58
SWORDIO,2015,31400,1.75,0.62
SWORDIO,2016,30800,1.75,0.6
SWORDIO,2017,33000,1.8,0.63
SWORDIO,2018,30600,1.75,0.6
SWORDIO,2019,"33,700",NA,NA
SWORDIO,2020,"26,005",NA,NA
SWORDWCNPAC,1975,9821,NA,NA
SWORDWCNPAC,1976,15011,NA,NA
SWORDWCNPAC,1977,16044,NA,NA
SWORDWCNPAC,1978,15177,NA,NA
SWORDWCNPAC,1979,16811,NA,NA
SWORDWCNPAC,1980,14690,NA,NA
SWORDWCNPAC,1981,12923,NA,NA
SWORDWCNPAC,1982,14102,NA,NA
SWORDWCNPAC,1983,12227,NA,NA
SWORDWCNPAC,1984,15101,NA,NA
SWORDWCNPAC,1985,15587,NA,NA
SWORDWCNPAC,1986,17307,NA,NA
SWORDWCNPAC,1987,18186,NA,NA
SWORDWCNPAC,1988,16915,NA,NA
SWORDWCNPAC,1989,14706,NA,NA
SWORDWCNPAC,1990,13003,NA,NA
SWORDWCNPAC,1991,14072,NA,NA
SWORDWCNPAC,1992,16442,NA,NA
SWORDWCNPAC,1993,16575,NA,NA
SWORDWCNPAC,1994,13109,NA,NA
SWORDWCNPAC,1995,11950,NA,NA
SWORDWCNPAC,1996,11170,NA,NA
SWORDWCNPAC,1997,11055,NA,NA
SWORDWCNPAC,1998,11005,NA,NA
SWORDWCNPAC,1999,10806,NA,NA
SWORDWCNPAC,2000,14055,NA,NA
SWORDWCNPAC,2001,11799,NA,NA
SWORDWCNPAC,2002,12605,NA,NA
SWORDWCNPAC,2003,12370,NA,NA
SWORDWCNPAC,2004,13100,NA,NA
SWORDWCNPAC,2005,13923,NA,NA
SWORDWCNPAC,2006,14200,NA,NA
SWORDWCNPAC,2007,12032,NA,NA
SWORDWCNPAC,2008,11456,NA,NA
SWORDWCNPAC,2009,10182,NA,NA
SWORDWCNPAC,2010,9117,NA,NA
SWORDWCNPAC,2011,9588,NA,NA
SWORDWCNPAC,2012,8216,NA,NA
SWORDWCNPAC,2013,7850,NA,NA
SWORDWCNPAC,2014,10272,NA,NA
SWORDWCNPAC,2015,8654,NA,NA
SWORDWCNPAC,2016,6969,NA,NA
YFINCWPAC,1950,22562,NA,NA
YFINCWPAC,1951,20095,NA,NA
YFINCWPAC,1952,32514,5.41,0.00677
YFINCWPAC,1953,40067,5.41,0.00985
YFINCWPAC,1954,41944,5.45,0.00985
YFINCWPAC,1955,41351,5.18,0.00985
YFINCWPAC,1956,42733,5.03,0.00892
YFINCWPAC,1957,58043,5.65,0.0135
YFINCWPAC,1958,63398,5.54,0.016
YFINCWPAC,1959,66895,5.76,0.016
YFINCWPAC,1960,73667,6.21,0.0206
YFINCWPAC,1961,75438,5.55,0.0222
YFINCWPAC,1962,83944,4.09,0.0274
YFINCWPAC,1963,75756,3.82,0.0222
YFINCWPAC,1964,74148,4.05,0.0206
YFINCWPAC,1965,73629,4.07,0.0222
YFINCWPAC,1966,93068,4.26,0.0305
YFINCWPAC,1967,68576,3.6,0.0215
YFINCWPAC,1968,81446,3.36,0.0268
YFINCWPAC,1969,87017,3.28,0.0274
YFINCWPAC,1970,98664,3.17,0.0612
YFINCWPAC,1971,104127,3.38,0.0674
YFINCWPAC,1972,114961,3.6,0.0769
YFINCWPAC,1973,127713,3.12,0.096
YFINCWPAC,1974,130611,2.92,0.0991
YFINCWPAC,1975,140233,3.08,0.106
YFINCWPAC,1976,151891,2.84,0.0991
YFINCWPAC,1977,183437,2.97,0.12
YFINCWPAC,1978,176414,3.38,0.104
YFINCWPAC,1979,198232,3.5,0.122
YFINCWPAC,1980,217690,3.28,0.138
YFINCWPAC,1981,227008,2.91,0.15
YFINCWPAC,1982,235251,2.66,0.158
YFINCWPAC,1983,289442,2.75,0.176
YFINCWPAC,1984,290052,2.73,0.202
YFINCWPAC,1985,297846,2.57,0.205
YFINCWPAC,1986,345810,2.49,0.186
YFINCWPAC,1987,333937,2.71,0.218
YFINCWPAC,1988,321006,2.64,0.219
YFINCWPAC,1989,383505,2.58,0.25
YFINCWPAC,1990,429589,2.58,0.285
YFINCWPAC,1991,460490,2.31,0.307
YFINCWPAC,1992,456510,2.46,0.285
YFINCWPAC,1993,418101,2.4,0.269
YFINCWPAC,1994,449221,2.31,0.307
YFINCWPAC,1995,442815,2.21,0.321
YFINCWPAC,1996,425705,2.32,0.382
YFINCWPAC,1997,481125,2.18,0.448
YFINCWPAC,1998,536853,2.14,0.523
YFINCWPAC,1999,475159,1.81,0.586
YFINCWPAC,2000,506965,1.87,0.591
YFINCWPAC,2001,505659,1.61,0.609
YFINCWPAC,2002,491890,1.52,0.585
YFINCWPAC,2003,565533,1.52,0.686
YFINCWPAC,2004,598099,1.55,0.705
YFINCWPAC,2005,553254,1.39,0.669
YFINCWPAC,2006,539773,1.39,0.604
YFINCWPAC,2007,567047,1.28,0.628
YFINCWPAC,2008,644427,1.32,0.7
YFINCWPAC,2009,558446,1.32,0.638
YFINCWPAC,2010,"566,205",1.32,0.684
YFINCWPAC,2011,"531,230",1.37,0.691
YFINCWPAC,2012,"625,687",1.24,0.728
YFINCWPAC,2013,"578,552",1.21,0.718
YFINCWPAC,2014,"618,063",1.35,0.658
YFINCWPAC,2015,"589,285",1.44,0.623
YFINCWPAC,2016,"658,538",2.02,0.497
